Voucher No,Party Name,Voucher Date,Taxable Value,GST Amount,Grand Total,Currency
INV-2041,Sharma Traders,04-01-2026,"12,500.00",2250.00,"14,750.00",INR
INV-2042,Nexus Supplies,11-01-2026,"8,200.00",1476.00,"9,676.00",INR
INV-2043,Sharma Traders,19-01-2026,"11,900.00",2142.00,"14,042.00",INR
INV-2044,Orbit Logistics,02-02-2026,"45,000.00",8100.00,"53,100.00",INR
INV-2045,Sharma Traders,08-02-2026,"13,100.00",2358.00,"15,458.00",INR
INV-2046,Nexus Supplies,14-02-2026,"8,050.00",1449.00,"9,499.00",INR
INV-2047,Sharma Traders,25-02-2026,"98,400.00",17712.00,"116,112.00",INR
INV-2048,Orbit Logistics,03-03-2026,"44,200.00",7956.00,"52,156.00",INR
INV-2049,Nexus Supplies,09-03-2026,"8,300.00",1494.00,"9,794.00",INR
INV-2050,Sharma Traders,17-03-2026,"12,700.00",2286.00,"14,986.00",INR
